ReadPorts,DynamicReadDelay,DynamicReadEnergy,StaticReadDelay,StaticReadEnergy,DynamicWriteDelay,DynamicWriteChargeDelay,DynamicWriteEnergy,StaticWriteDelay,StaticWriteChargeDelay,StaticWriteEnergy,DecoderDelay,DecoderEnergy
1,1.66483e-10,8.07982e-14,2.09002e-10,2.15386e-14,1.19698e-10,5.18522e-11,2.33366e-13,8.95705e-11,7.54183e-11,2.19506e-13,3.88819e-10,2.65415e-13
2,1.66483e-10,1.61596e-13,2.09002e-10,4.30772e-14,2.1454e-10,5.18522e-11,2.43458e-13,1.47954e-10,7.54183e-11,2.25743e-13,3.88819e-10,3.98122e-13
