VDD,DynamicReadDelay,DynamicReadEnergy,StaticReadDelay,StaticReadEnergy,DynamicWriteDelay,DynamicWriteChargeDelay,DynamicWriteEnergy,StaticWriteDelay,StaticWriteChargeDelay,StaticWriteEnergy,DecoderDelay,DecoderEnergy
0.9,2.33293e-10,1.46238e-13,2.8405e-10,3.96032e-14,9.54997e-11,7.6218e-11,6.73446e-14,9.63294e-11,7.40434e-11,6.7638e-14,5.16459e-10,3.19299e-13
1,1.66483e-10,1.61596e-13,2.09002e-10,4.30772e-14,7.30342e-11,5.46345e-11,7.57312e-14,7.30325e-11,5.36199e-11,7.53648e-14,3.88819e-10,3.98122e-13
