VDD,DynamicReadDelay,DynamicReadEnergy,StaticReadDelay,StaticReadEnergy,DynamicWriteDelay,DynamicWriteChargeDelay,DynamicWriteEnergy,StaticWriteDelay,StaticWriteChargeDelay,StaticWriteEnergy,DecoderDelay,DecoderEnergy
0.7,7.43879e-10,1.23466e-13,7.34663e-10,3.17241e-14,2.36453e-10,2.25981e-10,5.12318e-14,2.43346e-10,2.13502e-10,5.22358e-14,1.31244e-09,1.91364e-13
0.8,3.73282e-10,1.30506e-13,4.25469e-10,3.5848e-14,1.38841e-10,1.20045e-10,5.92031e-14,1.41368e-10,1.15133e-10,5.99772e-14,7.61393e-10,2.5091e-13
0.9,2.33293e-10,1.46238e-13,2.8405e-10,3.96032e-14,9.54997e-11,7.6218e-11,6.73446e-14,9.63294e-11,7.40434e-11,6.7638e-14,5.16459e-10,3.19299e-13
1,1.66483e-10,1.61596e-13,2.09002e-10,4.30772e-14,7.30342e-11,5.46345e-11,7.57312e-14,7.30325e-11,5.36199e-11,7.53648e-14,3.88819e-10,3.98122e-13
1.1,1.29084e-10,1.76434e-13,1.64489e-10,4.64561e-14,5.99576e-11,4.24265e-11,8.45871e-14,5.93847e-11,4.2003e-11,8.32141e-14,3.13513e-10,4.89676e-13
1.2,1.05733e-10,1.90692e-13,1.35847e-10,4.98932e-14,5.16998e-11,3.47475e-11,9.42205e-14,5.06419e-11,3.46818e-11,9.13774e-14,2.65528e-10,6.00134e-13
