BitcellUpsize,DynamicReadDelay,DynamicReadEnergy,StaticReadDelay,StaticReadEnergy,DynamicWriteDelay,DynamicWriteChargeDelay,DynamicWriteEnergy,StaticWriteDelay,StaticWriteChargeDelay,StaticWriteEnergy,DecoderDelay,DecoderEnergy
5,1.66483e-10,3.23193e-13,2.09002e-10,8.61544e-14,5.8405e-11,7.81075e-11,1.09736e-13,5.88298e-11,8.61348e-11,1.4244e-13,3.88819e-10,6.63537e-13
6,1.66483e-10,3.23193e-13,2.09002e-10,8.61544e-14,5.26177e-11,8.33551e-11,1.29647e-13,5.26792e-11,9.36856e-11,1.75275e-13,3.88819e-10,6.63537e-13
7,1.66483e-10,3.23193e-13,2.09002e-10,8.61544e-14,4.8506e-11,8.85512e-11,1.49939e-13,4.83327e-11,1.01219e-10,2.04299e-13,3.88819e-10,6.63537e-13
8,1.66483e-10,3.23193e-13,2.09002e-10,8.61544e-14,4.541e-11,9.37104e-11,1.72403e-13,4.50891e-11,1.08741e-10,2.32033e-13,3.88819e-10,6.63537e-13
