ReadPorts,DynamicReadDelay,DynamicReadEnergy,StaticReadDelay,StaticReadEnergy,DynamicWriteDelay,DynamicWriteChargeDelay,DynamicWriteEnergy,StaticWriteDelay,StaticWriteChargeDelay,StaticWriteEnergy,DecoderDelay,DecoderEnergy
1,1.66483e-10,8.07982e-14,2.09002e-10,2.15386e-14,5.61251e-11,5.46345e-11,4.42823e-14,5.59152e-11,5.36199e-11,3.80458e-14,3.88819e-10,2.65415e-13
2,1.66483e-10,1.61596e-13,2.09002e-10,4.30772e-14,7.30342e-11,5.46345e-11,7.57312e-14,7.30325e-11,5.36199e-11,7.53648e-14,3.88819e-10,3.98122e-13
3,1.66483e-10,2.42395e-13,2.09002e-10,6.46158e-14,8.2294e-11,5.46345e-11,9.96215e-14,8.32132e-11,5.36199e-11,1.01919e-13,3.88819e-10,5.30829e-13
4,1.66483e-10,3.23193e-13,2.09002e-10,8.61544e-14,9.88656e-11,5.46345e-11,1.52435e-13,1.00638e-10,5.36199e-11,1.58209e-13,3.88819e-10,6.63537e-13
