BitcellUpsize,DynamicReadDelay,DynamicReadEnergy,StaticReadDelay,StaticReadEnergy,DynamicWriteDelay,DynamicWriteChargeDelay,DynamicWriteEnergy,StaticWriteDelay,StaticWriteChargeDelay,StaticWriteEnergy,DecoderDelay,DecoderEnergy
1,1.66483e-10,3.23193e-13,2.09002e-10,8.61544e-14,9.88656e-11,5.46345e-11,1.52435e-13,1.00638e-10,5.36199e-11,1.58209e-13,3.88819e-10,6.63537e-13
2,1.66483e-10,3.23193e-13,2.09002e-10,8.61544e-14,8.42534e-11,6.17607e-11,1.08131e-13,8.61088e-11,6.32012e-11,1.21074e-13,3.88819e-10,6.63537e-13
3,1.66483e-10,3.23193e-13,2.09002e-10,8.61544e-14,7.40201e-11,6.73567e-11,8.69141e-14,7.54884e-11,7.09253e-11,9.38941e-14,3.88819e-10,6.63537e-13
4,1.66483e-10,3.23193e-13,2.09002e-10,8.61544e-14,6.68188e-11,7.27862e-11,8.91711e-14,6.77716e-11,7.85552e-11,1.08138e-13,3.88819e-10,6.63537e-13
