VDD,ReadEnergy,ReadDelay,WriteEnergy,WriteDelay
0.7,4.99864e-12,8.83602e-10,6.12417e-14,7.21512e-10
0.8,3.00782e-12,4.11354e-10,6.88826e-14,4.1717e-10
0.9,2.35284e-12,2.5461e-10,7.57921e-14,2.7802e-10
1,2.0676e-12,1.82641e-10,8.21644e-14,2.04163e-10
1.1,2.05518e-12,1.51534e-10,8.83355e-14,1.60342e-10
1.2,2.0873e-12,1.31549e-10,9.45884e-14,1.32134e-10
