VDD,ReadEnergy,ReadDelay,WriteEnergy,WriteDelay
0.7,3.51318e-13,7.98657e-10,1.43497e-13,4.03199e-10
0.8,3.76631e-13,3.67851e-10,1.63558e-13,2.35922e-10
0.9,3.82539e-13,2.25127e-10,1.83099e-13,1.59265e-10
1,3.94715e-13,1.59233e-10,2.02155e-13,1.18427e-10
1.1,4.11185e-13,1.22919e-10,2.20899e-13,9.4073e-11
1.2,4.30429e-13,1.00449e-10,2.39526e-13,7.82901e-11
