ReadPorts,DynamicReadDelay,DynamicReadEnergy,StaticReadDelay,StaticReadEnergy,DynamicWriteDelay,DynamicWriteEnergy,StaticWriteDelay,StaticWriteEnergy,DecoderDelay,DecoderEnergy
1,2.10417e-10,1.28017e-13,2.70417e-10,2.98043e-14,7.63495e-11,6.11088e-12,1.09458e-10,6.22302e-12,6.02475e-10,2.9239e-13
2,2.10417e-10,2.56033e-13,2.70417e-10,5.96086e-14,8.88275e-11,6.11576e-12,1.33568e-10,6.23292e-12,6.02475e-10,2.9239e-13
3,2.10417e-10,3.8405e-13,2.70417e-10,8.94128e-14,1.2055e-10,6.22748e-12,1.99094e-10,6.45071e-12,6.02475e-10,2.9239e-13
4,2.10417e-10,5.12066e-13,2.70417e-10,1.19217e-13,1.33568e-10,6.23292e-12,2.26573e-10,6.46165e-12,6.02475e-10,2.9239e-13
