VDD,ReadEnergy,ReadDelay,WriteEnergy,WriteDelay
0.7,0,0,-2.52011e-12,-9.22677e-09
0.8,4.90417e-13,4.54942e-10,-4.78387e-12,-9.5556e-09
0.9,4.91031e-13,2.73535e-10,-7.62126e-12,-9.70433e-09
1,5.04555e-13,1.90776e-10,-1.08004e-11,-9.78251e-09
1.1,5.25686e-13,1.4596e-10,-1.41737e-11,-9.82855e-09
1.2,5.50765e-13,1.18703e-10,-1.76657e-11,-9.85804e-09
