VDD,ReadEnergy,ReadDelay,WriteEnergy,WriteDelay
0.7,4.20763e-13,4.66282e-10,1.51746e-13,5.39383e-10
0.8,4.78569e-13,3.1912e-10,1.72576e-13,3.47493e-10
0.9,5.32892e-13,2.42002e-10,1.9328e-13,2.49934e-10
1,5.83944e-13,1.9574e-10,2.14156e-13,1.93607e-10
1.1,6.32211e-13,1.65457e-10,2.35491e-13,1.58176e-10
1.2,6.79161e-13,1.44567e-10,2.57151e-13,1.34401e-10
