VDD,ReadEnergy,ReadDelay,WriteEnergy,WriteDelay
0.7,2.95676e-13,2.51174e-10,1.23467e-13,2.93997e-10
0.8,3.9881e-13,2.2855e-10,1.38404e-13,1.86229e-10
0.9,5.00685e-13,2.15951e-10,1.54592e-13,1.33694e-10
1,6.3151e-13,2.07628e-10,1.73011e-13,1.0483e-10
1.1,8.00901e-13,2.01544e-10,1.94952e-13,8.73276e-11
1.2,1.02807e-12,1.96691e-10,2.21975e-13,7.55774e-11
