ReadPorts,DynamicReadDelay,DynamicReadEnergy,StaticReadDelay,StaticReadEnergy,DynamicWriteDelay,DynamicWriteEnergy,StaticWriteDelay,StaticWriteEnergy,DecoderDelay,DecoderEnergy
1,1.80124e-10,9.86274e-14,2.09002e-10,2.1514e-14,7.83451e-11,3.27927e-12,1.11851e-10,3.38246e-12,5.25579e-10,2.49029e-13
2,1.80124e-10,1.97255e-13,2.09002e-10,4.3028e-14,9.28296e-11,3.28439e-12,1.40804e-10,3.39339e-12,5.25579e-10,2.49029e-13
3,1.80124e-10,2.95882e-13,2.09002e-10,6.4542e-14,1.25188e-10,3.38758e-12,2.06577e-10,3.59655e-12,5.25579e-10,2.49029e-13
4,1.80124e-10,3.9451e-13,2.09002e-10,8.6056e-14,1.40804e-10,3.39339e-12,2.40223e-10,3.60833e-12,5.25579e-10,2.49029e-13
