VDD,ReadEnergy,ReadDelay,WriteEnergy,WriteDelay
0.7,-4.00435e-10,4.25789e-10,1.41128e-08,3.89537e-10
0.8,-1.54982e-09,3.35258e-10,8.31949e-08,2.55579e-10
0.9,-9.03292e-10,2.98413e-10,6.48088e-08,1.86306e-10
1,-1.97402e-09,2.75232e-10,3.34961e-08,1.45644e-10
1.1,-4.0523e-09,2.59293e-10,8.3455e-08,1.19627e-10
1.2,-1.93411e-09,2.47628e-10,3.06322e-08,1.01859e-10
