1	512	2	6.729482e-12	1.422573e-09	2.310081e-12	4.419401e-12	1.422573e-09	1.288174e-09
1	256	4	6.688377e-12	1.180123e-09	2.451174e-12	4.237203e-12	1.180123e-09	7.808977e-10
1	128	8	7.991861e-12	1.129949e-09	2.929346e-12	5.062515e-12	1.129949e-09	6.222190e-10
2	512	1	6.243914e-12	1.571079e-09	2.098270e-12	4.145644e-12	1.571079e-09	1.276073e-09
2	256	2	5.810148e-12	1.338933e-09	2.098726e-12	3.711422e-12	1.338933e-09	7.566870e-10
2	128	4	6.453901e-12	1.298003e-09	2.396157e-12	4.057744e-12	1.298003e-09	5.949665e-10
2	64	8	8.089413e-12	1.422705e-09	2.911412e-12	5.178001e-12	1.422705e-09	7.523629e-10
4	256	1	5.345659e-12	1.334109e-09	1.906509e-12	3.439150e-12	1.334109e-09	7.445068e-10
4	128	2	5.55994e-12	1.294818e-09	2.026571e-12	3.533369e-12	1.294818e-09	5.800322e-10
4	64	4	6.535075e-12	1.410817e-09	2.358906e-12	4.176169e-12	1.410817e-09	7.247458e-10
8	128	1	5.172825e-12	1.292756e-09	1.910485e-12	3.262340e-12	1.292756e-09	5.722932e-10
8	64	2	5.655648e-12	1.410554e-09	2.001606e-12	3.654042e-12	1.410554e-09	7.096460e-10
8	32	4	5.655648e-12	1.410554e-09	2.001606e-12	3.654042e-12	1.410554e-09	7.096460e-10
16	64	1	5.355934e-12	1.411591e-09	1.971187e-12	3.384747e-12	1.411591e-09	7.018341e-10
16	32	2	5.355934e-12	1.411591e-09	1.971187e-12	3.384747e-12	1.411591e-09	7.018341e-10
