1 512 4 8.054233e-12 1.466824e-09
1 256 8 8.875325e-12 1.270581e-09
2 512 2 6.995653e-12 1.622789e-09
2 256 4 7.153023e-12 1.434838e-09
2 128 8 8.851682e-12 1.492907e-09
4 512 1 6.442242e-12 1.615979e-09
4 256 2 6.169467e-12 1.428327e-09
4 128 4 7.199074e-12 1.476575e-09
8 256 1 5.739001e-12 1.423929e-09
8 128 2 6.274431e-12 1.473322e-09
8 64 4 6.274431e-12 1.473322e-09
8 32 8 6.274431e-12 1.473322e-09
16 128 1 5.953533e-12 1.472209e-09
16 64 2 5.953533e-12 1.472209e-09
16 32 4 5.953533e-12 1.472209e-09
