1	512	1	6.05517e-12	1.385951e-09	1.974731e-12	4.080439e-12	1.385951e-09	1.273765e-09
1	256	2	5.528514e-12	1.123641e-09	1.946857e-12	3.581657e-12	1.123641e-09	7.561176e-10
1	128	4	5.96448e-12	1.030773e-09	2.160363e-12	3.804117e-12	1.030773e-09	5.293750e-10
1	64	8	7.210896e-12	1.055825e-09	2.527427e-12	4.683469e-12	1.055825e-09	6.211182e-10
2	256	1	5.107397e-12	1.252355e-09	1.812829e-12	3.294568e-12	1.252355e-09	7.439668e-10
2	128	2	5.121006e-12	1.149454e-09	1.871385e-12	3.249621e-12	1.149454e-09	4.924265e-10
2	64	4	5.121006e-12	1.149454e-09	1.871385e-12	3.249621e-12	1.149454e-09	4.924265e-10
2	32	8	7.626245e-12	1.242730e-09	2.670237e-12	4.956008e-12	1.242730e-09	6.140492e-10
4	128	1	4.676603e-12	1.122960e-09	1.713775e-12	2.962828e-12	1.122960e-09	4.801107e-10
4	64	2	4.74211e-12	1.102010e-09	1.674930e-12	3.067180e-12	1.102010e-09	4.799714e-10
4	32	4	5.998884e-12	1.151734e-09	2.102806e-12	3.896078e-12	1.151734e-09	5.203954e-10
4	16	8	8.572158e-12	1.292858e-09	2.922457e-12	5.649701e-12	1.292858e-09	5.926584e-10
8	64	1	4.354156e-12	1.075232e-09	1.573043e-12	2.781113e-12	1.075232e-09	4.555127e-10
8	32	2	5.090478e-12	1.105392e-09	1.746535e-12	3.343943e-12	1.105392e-09	4.723183e-10
8	16	4	6.948758e-12	1.203219e-09	2.354646e-12	4.594112e-12	1.203219e-09	5.359806e-10
16	32	1	4.780545e-12	1.078653e-09	1.721257e-12	3.059288e-12	1.078653e-09	4.479152e-10
16	16	2	5.994769e-12	1.157205e-09	1.949762e-12	4.045007e-12	1.157205e-09	5.205492e-10
